"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","611.2389","612.0985","617.3992","609.3156","","-0.14%"
"09/21/2023","612.0985","614.4275","618.5784","608.6630","","-0.39%"
"09/20/2023","614.4681","617.5201","619.0156","611.6198","","-0.49%"
"09/19/2023","617.5201","616.9152","623.2030","616.2000","","0.10%"
"09/18/2023","616.9152","618.0502","621.2754","614.7527","","-0.18%"
"09/15/2023","618.0503","619.6288","623.5565","614.3458","","-0.25%"
"09/14/2023","619.6288","612.3114","620.7681","612.3114","","1.08%"
"09/13/2023","613.0078","611.6577","615.1845","610.5632","","0.10%"
"09/12/2023","612.3986","608.5789","613.9194","607.8686","","0.51%"
"09/11/2023","609.2780","606.3757","612.0745","603.4819","","0.38%"
"09/08/2023","606.9938","603.3144","608.9794","601.3503","","0.52%"
"09/07/2023","603.8761","605.1005","606.8634","601.9454","","-0.20%"
"09/06/2023","605.1005","604.2076","607.0522","600.3424","","0.15%"
"09/05/2023","604.2076","598.9844","609.0023","595.5024","","0.87%"
"09/01/2023","598.9845","591.4241","600.3339","591.1649","","1.28%"
"08/31/2023","591.4241","586.7674","591.8768","586.0335","","0.79%"
"08/30/2023","586.7674","586.7269","590.0353","584.3025","","0.01%"
"08/29/2023","586.7269","585.1214","587.5120","581.0776","","0.27%"
"08/28/2023","585.1214","585.6177","588.2564","583.4865","","0.02%"
"08/25/2023","585.0185","579.0883","585.7938","577.9998","","1.02%"
"08/24/2023","579.0884","577.7474","579.5753","571.7596","","0.23%"
"08/23/2023","577.7474","578.1302","579.8675","571.7041","","-0.07%"
"08/22/2023","578.1302","579.5100","581.6280","577.3030","","-0.24%"
"08/21/2023","579.5100","582.0376","587.2798","578.9135","","-0.43%"
"08/18/2023","582.0377","577.1764","583.0364","574.8125","","0.84%"
"08/17/2023","577.1764","573.5581","580.7039","571.3829","","0.63%"
"08/16/2023","573.5581","577.4630","580.3991","573.3514","","-0.68%"
"08/15/2023","577.4630","586.3379","588.3643","576.1391","","-1.51%"
"08/14/2023","586.3379","590.7531","590.7531","583.8245","","-0.75%"
"08/11/2023","590.7531","591.3596","594.3025","588.7141","","-0.19%"
"08/10/2023","591.8981","597.0463","600.3182","590.8275","","-0.97%"
"08/09/2023","597.7035","589.9850","598.6685","589.6694","","1.22%"
"08/08/2023","590.5027","587.8811","591.0303","577.1867","","0.37%"
"08/07/2023","588.3205","591.2147","593.0932","586.3568","","-0.57%"
"08/04/2023","591.6858","587.4037","593.3087","587.2376","","0.73%"
"08/03/2023","587.4037","580.7089","588.7253","577.7130","","1.15%"
"08/02/2023","580.7089","591.6838","597.3952","579.0726","","-1.85%"
"08/01/2023","591.6838","593.3337","594.5178","589.1497","","-0.29%"
"07/31/2023","593.4022","590.9369","593.7573","587.2503","","0.42%"
"07/28/2023","590.9369","588.4094","591.4790","584.0579","","0.43%"
"07/27/2023","588.4094","585.2167","590.9835","584.4772","","0.55%"
"07/26/2023","585.2167","588.8663","588.8663","584.3216","","-0.62%"
"07/25/2023","588.8651","586.0481","589.7158","582.2927","","0.48%"
"07/24/2023","586.0481","574.7210","588.6258","572.9890","","1.97%"
"07/21/2023","574.7211","569.8866","575.4840","569.6489","","0.85%"
"07/20/2023","569.8866","567.8191","572.8840","566.0939","","0.36%"
"07/19/2023","567.8191","564.2046","572.5843","563.7779","","0.64%"
"07/18/2023","564.2047","555.8310","565.3636","555.1475","","1.51%"
"07/17/2023","555.8310","562.5178","565.6062","555.4310","","-1.19%"
"07/14/2023","562.5178","564.9940","567.5570","560.0683","","-0.51%"
"07/13/2023","565.4211","558.7432","566.2309","558.2730","","1.11%"
"07/12/2023","559.2236","557.1828","563.7980","556.8030","","0.28%"
"07/11/2023","557.6841","549.4614","558.0694","549.2420","","1.42%"
